director,evaluate_number,introduce,leadactors,movie_name,picture,release_time,score,serial_number,typelist
"
                            导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...",914402人评价,如果再也不能见到你，祝你早安，午安，晚安。,,楚门的世界,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,"
                            导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,
                            1998 / 美国 / 剧情 科幻
                        ",9.3,15,
"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc...",931170人评价,爱是一种力量，让我们超越时空感知它的存在。,,星际穿越,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2206088801.jpg,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc...,
                            2014 / 美国 英国 加拿大 冰岛 / 剧情 科幻 冒险
                        ",9.3,16,
"
                            导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...",912132人评价,一生所爱。,,大话西游之大圣娶亲,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg,"
                            导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,
                            1995 / 中国香港 中国大陆 / 喜剧 爱情 奇幻 古装
                        ",9.2,17,
"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...",792616人评价,人人心中都有个龙猫，童年就永远不会消失。,,龙猫,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...,
                            1988 / 日本 / 动画 奇幻 冒险
                        ",9.2,18,
"
                            导演: 黄东赫 Dong-hyuk Hwang   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jeong ...",547998人评价,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,,熔炉,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg,"
                            导演: 黄东赫 Dong-hyuk Hwang   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jeong ...,
                            2011 / 韩国 / 剧情
                        ",9.3,19,
"
                            导演: 刘伟强 / 麦兆辉   主演: 刘德华 / 梁朝伟 / 黄秋生",748968人评价,香港电影史上永不过时的杰作。,,无间道,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg,"
                            导演: 刘伟强 / 麦兆辉   主演: 刘德华 / 梁朝伟 / 黄秋生,
                            2002 / 中国香港 / 剧情 犯罪 悬疑
                        ",9.2,20,
"
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 马龙·白兰度 M...",579342人评价,千万不要记恨你的对手，这样会让你失去理智。,,教父,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg,"
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 马龙·白兰度 M...,
                            1972 / 美国 / 剧情 犯罪
                        ",9.3,21,
"
                            导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore   主演: 金妮弗·...",1064592人评价,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,,疯狂动物城,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2315672647.jpg,"
                            导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore   主演: 金妮弗·...,
                            2016 / 美国 / 喜剧 动画 冒险
                        ",9.2,22,
"
                            导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ...",943783人评价,平民励志片。 ,,当幸福来敲门,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1312700628.jpg,"
                            导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ...,
                            2006 / 美国 / 剧情 传记 家庭
                        ",9.1,23,
"
                            导演: 罗伯·莱纳 Rob Reiner   主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...",1065599人评价,真正的幸福是来自内心深处。,,怦然心动,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2220734673.jpg,"
                            导演: 罗伯·莱纳 Rob Reiner   主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...,
                            2010 / 美国 / 剧情 喜剧 爱情
                        ",9.0,24,
